number of descriptions	1 dependency parsing	1 dependency reasoning	1 dependency total	2 dependencies parsing	2 dependencies reasoning	2 dependencies total	3 dependencies parsing	3 dependencies reasoning	3 dependencies total	parsing with dummies	reasoning with dummies	total with dummies
-	269.0	1214.0	1483.0	296.0	8382.0	8678.0	326.0	10713.0	11039.0	587.0	1061.0	1648.0
-	269.0	1127.0	1396.0	297.0	8505.0	8802.0	330.0	10694.0	11024.0	576.0	1085.0	1661.0
-	288.0	1144.0	1432.0	298.0	8154.0	8452.0	326.0	10506.0	10832.0	588.0	1085.0	1673.0
-	269.0	1154.0	1423.0	298.0	8347.0	8645.0	322.0	10764.0	11086.0	581.0	1084.0	1665.0
-	272.0	1126.0	1398.0	310.0	7997.0	8307.0	329.0	10736.0	11065.0	598.0	1123.0	1721.0
-	269.0	1124.0	1393.0	298.0	7655.0	7953.0	322.0	10361.0	10683.0	573.0	1086.0	1659.0
-	276.0	1143.0	1419.0	297.0	7629.0	7926.0	336.0	10017.0	10353.0	586.0	1137.0	1723.0
-	273.0	1145.0	1418.0	306.0	7679.0	7985.0	328.0	10449.0	10777.0	590.0	1082.0	1672.0
-	265.0	1147.0	1412.0	297.0	8411.0	8708.0	329.0	10527.0	10856.0	576.0	1102.0	1678.0
-	280.0	1114.0	1394.0	295.0	7537.0	7832.0	330.0	10471.0	10801.0	579.0	1095.0	1674.0
-	271.0	1134.0	1405.0	316.0	7842.0	8158.0	332.0	10764.0	11096.0	588.0	1125.0	1713.0
-	271.0	1090.0	1361.0	300.0	7632.0	7932.0	325.0	10845.0	11170.0	580.0	1106.0	1686.0
-	275.0	1148.0	1423.0	296.0	8306.0	8602.0	332.0	11099.0	11431.0	583.0	1095.0	1678.0
-	274.0	1143.0	1417.0	308.0	8142.0	8450.0	328.0	10819.0	11147.0	587.0	1070.0	1657.0
-	270.0	1139.0	1409.0	298.0	8499.0	8797.0	325.0	11472.0	11797.0	576.0	1082.0	1658.0
-	269.0	1160.0	1429.0	296.0	8395.0	8691.0	332.0	11075.0	11407.0	587.0	1064.0	1651.0
-	271.0	1128.0	1399.0	306.0	7944.0	8250.0	326.0	10611.0	10937.0	576.0	1094.0	1670.0
-	269.0	1162.0	1431.0	300.0	8096.0	8396.0	326.0	11508.0	11834.0	585.0	1148.0	1733.0
-	271.0	1144.0	1415.0	298.0	7873.0	8171.0	326.0	10731.0	11057.0	588.0	1101.0	1689.0
-	271.0	1147.0	1418.0	304.0	8180.0	8484.0	331.0	11556.0	11887.0	584.0	1098.0	1682.0
-	272.0	1146.0	1418.0	300.0	7964.0	8264.0	334.0	10764.0	11098.0	581.0	1083.0	1664.0
-	273.0	1116.0	1389.0	301.0	8268.0	8569.0	330.0	10532.0	10862.0	591.0	1073.0	1664.0
-	267.0	1148.0	1415.0	309.0	8299.0	8608.0	324.0	10758.0	11082.0	584.0	1111.0	1695.0
-	269.0	1154.0	1423.0	294.0	8224.0	8518.0	338.0	10839.0	11177.0	583.0	1105.0	1688.0
-	270.0	1199.0	1469.0	299.0	7560.0	7859.0	327.0	10871.0	11198.0	592.0	1089.0	1681.0
-	272.0	1132.0	1404.0	300.0	7499.0	7799.0	324.0	10416.0	10740.0	573.0	1107.0	1680.0
-	274.0	1138.0	1412.0	300.0	8542.0	8842.0	326.0	10803.0	11129.0	586.0	1071.0	1657.0
